FIPS_final,Name_final,group,superclus2,sample,count,unemployed,lastworked_pastyr,male,age25,agemed,age75,a2534,a3544,a4554,a5564,whiteNH,blackNH,latino,asianNH,otherNH,insch,lths,hs,sc,aa,baplus,dis,fb,lep,married,children,nospouse_kids,snap,fincpadj
6029c,"Kern County, CA",2,5,365,16168.82396237278,.41801137,.3014887,.3350628,29,35,47,.49551746,.21898334,.2768338,.0086654024,.44232157,.071066007,.40521175,.043611784,.037788909,.0469082,0,0,.81533569,.18466432,0,.15838353,.18277854,.11378417,.47441468,.44782487,.17461711,.3467136,36903.91225843396
6029c,"Kern County, CA",3,1,819,32257.76423012544,.2930305,.26291606,.30251947,40,45,51,.034548271,.42315158,.43842235,.1038778,.21809751,.033379208,.69668144,.044045996,.0077958433,.0017423825,.61104524,.38895479,0,0,0,.14840187,.58678269,.53116858,.62122303,.47169799,.13250735,.37528351,31639.9424
6029c,"Kern County, CA",4,3,324,14821.31621272263,.31669724,.21725374,.36496186,27,29,32,1,0,0,0,.24074973,.038036574,.65326053,.050098442,.017854715,.0047865147,.41863492,.58136511,0,0,0,.090195917,.36798975,.26046994,.43851134,.57580733,.21723728,.47459811,27634.8864
6029c,"Kern County, CA",5,4,157,5076.446926106831,.19338439,.29463306,.33065879,56,59,61,0,0,0,1,.63149065,.07940612,.18997082,.069438584,.029693861,.010440961,0,0,.65796161,.17783788,.16420054,.21290506,.14215685,.077638112,.62844217,.010739615,0,.21073611,65811.9768608739
6029c,"Kern County, CA",6,2,231,8571.806119569732,.17444524,.21705398,.3124173,56,58,61,0,0,0,1,.50379747,.055807576,.39976054,.025490973,.015143453,0,.42196584,.57803416,0,0,0,.21332154,.28860834,.19215994,.65910244,.088814802,.015897209,.2170071,40384.87905937415
6037a,"Los Angeles, CA",ALL,,11656,385087.1482320759,.31461468,.23949364,.34022549,33,43,54,.28444216,.25438073,.2339142,.22726291,.2409516,.10254635,.53416008,.10416868,.018173289,.019447289,.35449532,.24654029,.16401581,.042896289,.19205229,.12052156,.58239579,.43500161,.47102138,.29963964,.10087414,.24242465,36391.35792151127
6037a,"Los Angeles, CA",1,1,5292,180337.785257324,.28579757,.18385838,.30009291,32,39,46,.34831572,.34624439,.30543989,0,.091858126,.10050652,.75234568,.044215679,.011073973,.0076028956,.58317655,.41682348,0,0,0,.1045968,.67310929,.56189293,.46615565,.43098336,.14579113,.33261472,29837.6672
6037a,"Los Angeles, CA",2,4,609,18100.0827122964,.26230282,.24774419,.43108046,57,59,61,0,0,0,1,.47259676,.1478301,.17441787,.17031786,.034837399,.013641369,0,0,.75964808,.24035192,0,.19901332,.40888172,.23219754,.50403738,.041679237,.019249287,.12166933,55339.86128
6037a,"Los Angeles, CA",3,5,1331,45864.23814315658,.35078296,.10339794,.35834393,30,35,45,.45783967,.28467324,.25748706,0,.30922681,.15198255,.39279199,.1233723,.02262635,.077297181,0,0,.79807222,.20192777,0,.11220246,.42444417,.23171206,.38683179,.35731,.15069236,.25417656,37356.01312992109
6037a,"Los Angeles, CA",4,7,1670,55263.17755889986,.44680691,.41228145,.38726011,30,38,46,.38005087,.31035316,.30784637,.0017496007,.52291441,.067262232,.16565217,.21057108,.033600118,.015187836,0,0,0,0,1,.054664362,.42435753,.19335726,.44793352,.23701179,.056009039,.077995948,58961.92342668627
6037a,"Los Angeles, CA",5,6,647,18693.69283050672,.26301768,.28872111,.39271319,57,60,62,0,0,0,1,.6129778,.060419206,.080385312,.22764851,.018569143,.0011590362,0,0,0,0,1,.15369582,.42286861,.19212134,.61730272,.047672734,.0094512552,.06238183,84058.91125532179
6037a,"Los Angeles, CA",6,2,1642,51113.29943872905,.16411138,.11634413,.29921052,57,59,61,0,.0064870799,.0066751838,.98683774,.16656685,.064498931,.64445001,.11458272,.009901477,.0010930881,.61320287,.38679713,0,0,0,.22900011,.78430301,.69008708,.58581275,.064639308,.01630036,.22821619,39149.4224
6037a,"Los Angeles, CA",7,5,465,15714.87229116112,.68602955,1,.54881042,32,41,47,.30030462,.31682113,.37110007,.011774186,.29366246,.22746103,.33424476,.10499596,.039635796,.089651369,0,0,.81500602,.18499398,0,.076442912,.29105264,.11475057,.26835844,.20550683,.075648189,.15084086,48229.64181665758
6037b,"Los Angeles County (excluding Los Angeles city), CA",ALL,,16793,574159.9801474881,.29066059,.20583232,.33902338,34,45,55,.26549864,.22682367,.25331193,.25436574,.23288296,.076807417,.50246423,.16841023,.01943516,.019040644,.30770469,.27051783,.18323816,.060472757,.17806655,.1119182,.51794744,.40159777,.52537382,.29877633,.098682061,.19725038,44182.18384273622
6037b,"Los Angeles County (excluding Los Angeles city), CA",1,1,5681,205971.2101827771,.27687621,.16438249,.33035141,30,37,45,.40640411,.3249737,.26862222,0,.15076219,.0940338,.6751554,.066713586,.013335027,.0077202367,.47535896,.52464104,0,0,0,.10209568,.49717477,.38111773,.47659555,.51077658,.16612442,.31502241,34443.4816
6037b,"Los Angeles County (excluding Los Angeles city), CA",2,4,1354,39947.06281847308,.26966095,.27802017,.37481001,56,58,61,0,.032483064,.063723713,.90379322,.50653857,.080591343,.22198774,.16849294,.02238938,.01227888,0,0,.72425872,.27574125,0,.1582585,.34332216,.20918302,.60017133,.050842151,.021847617,.076910891,65019.65528559239
6037b,"Los Angeles County (excluding Los Angeles city), CA",3,6,1900,58843.1924863727,.2731387,.2696071,.38753602,46,54,59,0,.20752667,.29273477,.49973857,.45121837,.06074211,.12408794,.34335476,.02059681,.0050767679,0,0,0,0,1,.096543126,.46144509,.25365633,.59149253,.026762482,.0067470395,.055205002,80769.7581187483
