FIPS_final,Name_final,stpuma,cbsa,metro_name,pct_supercluster1,pct_supercluster2,pct_supercluster3,pct_supercluster4,pct_supercluster5,pct_supercluster6,pct_supercluster7,pct_cluster1,pct_cluster2,pct_cluster3,pct_cluster4,pct_cluster5,pct_cluster6,pct_cluster7,pct_cluster8,pct_cluster9
12099c,"Palm Beach County, FL",1209902,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.10760402,.11699779,.0873494,.096011817,.10465116,.095674969,.12765957,.095674969,.10760402,.11699779,.096011817,.10465116,.0873494,.12765957,,
12099c,"Palm Beach County, FL",1209903,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.13773315,.13024282,.18975903,.11964549,.10465116,.091743119,.11702128,.091743119,.13773315,.13024282,.11964549,.10465116,.18975903,.11702128,,
12099c,"Palm Beach County, FL",1209904,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.13773315,.099337749,.19277108,.064992614,.11627907,.04587156,.074468084,.04587156,.13773315,.099337749,.064992614,.11627907,.19277108,.074468084,,
12099c,"Palm Beach County, FL",1209905,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.16499282,.1192053,.14457831,.085672081,.13372093,.051114023,.04255319,.051114023,.16499282,.1192053,.085672081,.13372093,.14457831,.04255319,,
12099c,"Palm Beach County, FL",1209906,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.11477762,.079470202,.069277108,.10339734,.075581394,.12057667,.12765957,.12057667,.11477762,.079470202,.10339734,.075581394,.069277108,.12765957,,
12099c,"Palm Beach County, FL",1209907,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.05451937,.077262692,.060240965,.09305761,.11046512,.10353866,.095744684,.10353866,.05451937,.077262692,.09305761,.11046512,.060240965,.095744684,,
12099c,"Palm Beach County, FL",1209908,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.034433287,.064017661,.027108435,.088626295,.058139537,.13630407,.063829787,.13630407,.034433287,.064017661,.088626295,.058139537,.027108435,.063829787,,
12099c,"Palm Beach County, FL",1209909,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.060258251,.055187639,.030120483,.087149188,.05232558,.10353866,.095744684,.10353866,.060258251,.055187639,.087149188,.05232558,.030120483,.095744684,,
12099c,"Palm Beach County, FL",1209910,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.032998566,.057395145,.030120483,.079763666,.058139537,.10091743,.11702128,.10091743,.032998566,.057395145,.079763666,.058139537,.030120483,.11702128,,
12099c,"Palm Beach County, FL",1209911,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.11477762,.14790288,.12349398,.096011817,.12209302,.062909566,.074468084,.062909566,.11477762,.14790288,.096011817,.12209302,.12349398,.074468084,,
12103c,"Pinellas County, FL",1210301,45300,"Tampa-St. Petersburg-Clearwater, FL",.080234833,.0852459,.034653466,.11720227,.12765957,.15056179,.1147541,.11720227,.0852459,.080234833,.15056179,.1147541,.11570248,.034653466,.2,
12103c,"Pinellas County, FL",1210302,45300,"Tampa-St. Petersburg-Clearwater, FL",.088062622,.09508197,.094059408,.096408315,.092198581,.078651689,.081967212,.096408315,.09508197,.088062622,.078651689,.081967212,.082644626,.094059408,.15000001,
12103c,"Pinellas County, FL",1210303,45300,"Tampa-St. Petersburg-Clearwater, FL",.099804305,.10491803,.14851485,.11909263,.10638298,.1752809,.18032786,.11909263,.10491803,.099804305,.1752809,.18032786,.099173553,.14851485,.15000001,
12103c,"Pinellas County, FL",1210304,45300,"Tampa-St. Petersburg-Clearwater, FL",.13307241,.10491803,.11386139,.10396975,.19148937,.058426965,.065573767,.10396975,.10491803,.13307241,.058426965,.065573767,.19008264,.11386139,.2,
12103c,"Pinellas County, FL",1210305,45300,"Tampa-St. Petersburg-Clearwater, FL",.13111547,.1704918,.099009901,.15500945,.08510638,.15280899,.065573767,.15500945,.1704918,.13111547,.15280899,.065573767,.090909094,.099009901,.050000001,
12103c,"Pinellas County, FL",1210306,45300,"Tampa-St. Petersburg-Clearwater, FL",.16438356,.16393442,.17326732,.12665406,.12056737,.083146065,.098360658,.12665406,.16393442,.16438356,.083146065,.098360658,.1322314,.17326732,.050000001,
12103c,"Pinellas County, FL",1210307,45300,"Tampa-St. Petersburg-Clearwater, FL",.19569471,.15409836,.22277227,.15500945,.14893617,.15505618,.22950819,.15500945,.15409836,.19569471,.15505618,.22950819,.1570248,.22277227,.1,
12103c,"Pinellas County, FL",1210308,45300,"Tampa-St. Petersburg-Clearwater, FL",.10763209,.12131148,.11386139,.12665406,.12765957,.14606741,.16393442,.12665406,.12131148,.10763209,.14606741,.16393442,.1322314,.11386139,.1,
12105c,"Polk County, FL",1210501,29460,"Lakeland-Winter Haven, FL",.27578947,.24489796,.34200743,.30081302,.2937853,.32467532,.29807693,.2937853,.30081302,.29807693,.32467532,.24489796,.27578947,.34200743,,
12105c,"Polk County, FL",1210502,29460,"Lakeland-Winter Haven, FL",.30105263,.29795918,.23791821,.24796748,.28813559,.20779221,.28846154,.28813559,.24796748,.28846154,.20779221,.29795918,.30105263,.23791821,,
12105c,"Polk County, FL",1210503,29460,"Lakeland-Winter Haven, FL",.18526316,.26122448,.18587361,.22764228,.19209039,.35064936,.22115384,.19209039,.22764228,.22115384,.35064936,.26122448,.18526316,.18587361,,
12105c,"Polk County, FL",1210504,29460,"Lakeland-Winter Haven, FL",.23789474,.19591837,.23420075,.22357723,.2259887,.11688311,.1923077,.2259887,.22357723,.1923077,.11688311,.19591837,.23789474,.23420075,,
13067c,"Cobb County, GA",1303001,12060,"Atlanta-Sandy Springs-Roswell, GA",.28125,,.41618496,.21182266,.25657895,.12688822,.25757575,.21182266,.25657895,.41618496,.28125,.12688822,.25757575,,,
13067c,"Cobb County, GA",1303002,12060,"Atlanta-Sandy Springs-Roswell, GA",.140625,,.13294798,.18226601,.16447368,.12990937,.16666667,.18226601,.16447368,.13294798,.140625,.12990937,.16666667,,,
13067c,"Cobb County, GA",1303003,12060,"Atlanta-Sandy Springs-Roswell, GA",.22812501,,.10404624,.19211823,.19736843,.15407854,.13636364,.19211823,.19736843,.10404624,.22812501,.15407854,.13636364,,,
13067c,"Cobb County, GA",1303004,12060,"Atlanta-Sandy Springs-Roswell, GA",.21875,,.24855492,.14778325,.19078948,.2205438,.27272728,.14778325,.19078948,.24855492,.21875,.2205438,.27272728,,,
13067c,"Cobb County, GA",1303005,12060,"Atlanta-Sandy Springs-Roswell, GA",.13124999,,.098265894,.26600984,.19078948,.36858007,.16666667,.26600984,.19078948,.098265894,.13124999,.36858007,.16666667,,,
13089c,"DeKalb County, GA",1301008,12060,"Atlanta-Sandy Springs-Roswell, GA",.16426513,,.13312693,.16756757,.24200913,.11355311,.068965517,.16426513,.13312693,.24200913,.16756757,.11355311,.068965517,,,
13089c,"DeKalb County, GA",1302001,12060,"Atlanta-Sandy Springs-Roswell, GA",.20461094,,.14241487,.27567568,.30593607,.14285715,.11494253,.20461094,.14241487,.30593607,.27567568,.14285715,.11494253,,,
13089c,"DeKalb County, GA",1302002,12060,"Atlanta-Sandy Springs-Roswell, GA",.26801154,,.16408668,.22162162,.15981735,.20512821,.27586207,.26801154,.16408668,.15981735,.22162162,.20512821,.27586207,,,
13089c,"DeKalb County, GA",1302003,12060,"Atlanta-Sandy Springs-Roswell, GA",.24207492,,.28173375,.21621622,.20091324,.29670331,.24137931,.24207492,.28173375,.20091324,.21621622,.29670331,.24137931,,,
13089c,"DeKalb County, GA",1302004,12060,"Atlanta-Sandy Springs-Roswell, GA",.12103746,,.27863777,.11891892,.091324203,.24175824,.29885057,.12103746,.27863777,.091324203,.11891892,.24175824,.29885057,,,
